PLACES,A_1982,A_1983,A_1984,A_1985,A_1986,A_1987,A_1988,A_1989,A_1990,A_1991,A_1992,A_1993,A_1994,A_1995,A_1996,A_1997,A_1998,A_1999,A_2000,A_2001,A_2002,A_2003,A_2004,A_2005,A_2006,A_2007,A_2008,A_2009,A_2010,A_2011,A_2012,A_2013,A_2014,A_2015,A_2016,A_2017
COLLALTO SABINO, 43, 43, 43, 43, 44, 44, 44, 44, 45, 45, 45, 44, 45, 44, 45, 46, 46, 47, 48, 47, 47, 48, 48, 49, 50, 50, 50, 50, 51, 51, 46, 47, 50, 51, 50, 51
COLLARMELE, 36, 36, 37, 37, 37, 37, 38, 38, 38, 39, 40, 40, 39, 40, 40, 40, 41, 42, 42, 42, 43, 43, 43, 43, 44, 45, 45, 45, 45, 45, 43, 43, 43, 44, 44, 44
COLLAZZONE, 38, 38, 38, 38, 38, 38, 38, 38, 39, 39, 40, 40, 40, 41, 41, 41, 41, 42, 42, 42, 42, 42, 41, 41, 41, 41, 41, 41, 42, 41, 42, 42, 41, 42, 42, 42
COLLE BRIANZA, 34, 34, 35, 36, 36, 36, 36, 36, 37, 36, 37, 37, 38, 37, 38, 38, 38, 39, 39, 38, 38, 38, 38, 39, 39, 39, 39, 39, 39, 40, 38, 38, 38, 38, 39, 39
COLLE D'ANCHISE, 40, 40, 41, 41, 41, 41, 42, 41, 41, 40, 41, 41, 41, 42, 41, 42, 42, 42, 42, 42, 43, 43, 42, 42, 43, 43, 43, 43, 43, 42, 43, 43, 42, 42, 42, 42
COLLE DI TORA, 36, 35, 35, 36, 38, 38, 40, 40, 41, 42, 42, 42, 45, 44, 44, 44, 45, 45, 44, 44, 45, 45, 46, 45, 44, 44, 44, 45, 44, 45, 45, 45, 45, 45, 44, 44
COLLE DI VAL D'ELSA, 39, 39, 39, 40, 40, 40, 40, 40, 41, 41, 41, 41, 41, 41, 41, 41, 41, 41, 41, 41, 41, 41, 41, 41, 41, 41, 41, 41, 41, 41, 41, 41, 41, 41, 41, 41
COLLE SAN MAGNO, 38, 39, 39, 39, 39, 40, 40, 40, 40, 41, 41, 41, 41, 41, 42, 42, 43, 43, 43, 43, 43, 44, 44, 44, 43, 44, 43, 44, 44, 44, 44, 44, 44, 44, 44, 44
COLLE SANNITA, 35, 35, 35, 36, 36, 37, 37, 38, 38, 38, 39, 39, 40, 41, 41, 41, 41, 42, 42, 42, 42, 42, 42, 43, 44, 44, 44, 44, 44, 43, 41, 42, 42, 43, 44, 44
COLLE SANTA LUCIA, 33, 34, 34, 34, 35, 35, 36, 36, 37, 37, 39, 40, 40, 40, 40, 41, 41, 41, 42, 41, 40, 40, 40, 40, 41, 41, 41, 42, 42, 42, 40, 40, 39, 40, 40, 40
COLLE UMBERTO, 34, 34, 34, 35, 35, 35, 36, 36, 36, 37, 37, 37, 38, 38, 38, 39, 39, 39, 39, 39, 40, 40, 40, 40, 40, 40, 40, 40, 40, 41, 40, 40, 40, 40, 40, 40
COLLEBEATO, 31, 32, 32, 32, 33, 33, 33, 34, 34, 35, 35, 36, 36, 37, 37, 37, 38, 38, 39, 39, 40, 40, 40, 40, 40, 41, 41, 41, 42, 42, 40, 40, 40, 40, 40, 41
COLLECCHIO, 37, 38, 38, 38, 38, 39, 39, 39, 39, 40, 40, 40, 41, 41, 41, 41, 41, 41, 41, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42
COLLECORVINO, 36, 36, 36, 36, 36, 36, 36, 37, 37, 37, 37, 37, 37, 37, 38, 38, 38, 38, 38, 38, 39, 39, 39, 39, 39, 39, 40, 40, 40, 40, 39, 39, 39, 39, 39, 39
COLLEDARA, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 37, 37, 37, 37, 37, 37, 37, 37, 38, 38, 39, 39, 39, 40, 40, 41, 41, 42, 42, 39, 39, 40, 40, 40, 40
COLLEDIMACINE, 46, 46, 47, 47, 49, 50, 48, 49, 49, 50, 50, 50, 50, 51, 51, 52, 52, 52, 53, 54, 54, 55, 53, 53, 50, 51, 52, 53, 54, 52, 54, 55, 53, 53, 50, 52
COLLEDIMEZZO, 41, 41, 42, 42, 42, 43, 43, 43, 42, 42, 44, 44, 44, 44, 45, 45, 46, 46, 46, 46, 46, 47, 48, 48, 49, 50, 49, 49, 49, 49, 47, 47, 47, 47, 48, 49
COLLEFERRO, 32, 32, 33, 33, 33, 34, 34, 35, 35, 36, 36, 36, 37, 37, 37, 37, 38, 38, 38, 39, 39, 39, 40, 40, 40, 41, 41, 41, 41, 41, 39, 39, 40, 40, 40, 40
COLLEGIOVE, 49, 49, 51, 51, 53, 55, 57, 55, 53, 55, 57, 56, 57, 57, 58, 55, 53, 54, 54, 54, 53, 53, 50, 50, 51, 50, 52, 53, 47, 49, 55, 55, 52, 52, 52, 51
COLLEGNO, 34, 34, 34, 35, 35, 35, 36, 36, 37, 37, 38, 38, 39, 39, 39, 39, 40, 40, 40, 40, 40, 41, 41, 41, 41, 41, 41, 42, 42, 42, 40, 41, 41, 41, 41, 41
COLLELONGO, 38, 38, 39, 38, 39, 40, 40, 41, 41, 40, 41, 41, 41, 41, 42, 42, 43, 43, 43, 44, 44, 44, 45, 45, 45, 46, 46, 46, 46, 46, 44, 45, 45, 45, 45, 46
COLLEPARDO, 36, 36, 36, 36, 37, 37, 37, 38, 38, 38, 40, 41, 41, 42, 41, 40, 39, 39, 40, 41, 41, 42, 42, 42, 42, 42, 43, 43, 43, 43, 41, 41, 41, 42, 42, 42
COLLEPASSO, 33, 34, 34, 34, 34, 35, 35, 35, 35, 36, 36, 37, 37, 37, 38, 38, 38, 38, 39, 39, 39, 39, 40, 40, 41, 41, 41, 42, 42, 42, 39, 39, 40, 40, 41, 41
COLLEPIETRO, 45, 46, 44, 44, 45, 46, 44, 45, 46, 47, 48, 48, 51, 50, 50, 50, 49, 50, 49, 49, 48, 50, 50, 49, 50, 49, 50, 51, 52, 50, 48, 48, 48, 48, 49, 50
COLLERETTO CASTELNUOVO, 42, 43, 43, 44, 45, 45, 44, 44, 46, 47, 46, 46, 46, 47, 47, 45, 44, 44, 44, 44, 45, 44, 44, 44, 44, 46, 44, 45, 44, 44, 45, 45, 45, 44, 45, 46
COLLERETTO GIACOSA, 38, 38, 38, 40, 40, 39, 40, 40, 40, 42, 42, 42, 43, 41, 42, 42, 42, 42, 43, 43, 41, 40, 42, 42, 43, 43, 42, 43, 44, 45, 41, 41, 43, 42, 43, 43
COLLESALVETTI, 35, 35, 36, 36, 36, 37, 37, 37, 37, 38, 38, 38, 39, 39, 39, 39, 40, 40, 40, 40, 41, 41, 41, 41, 42, 42, 42, 42, 42, 42, 41, 41, 41, 42, 42, 42
COLLESANO, 39, 39, 38, 38, 38, 39, 39, 39, 39, 39, 40, 40, 40, 40, 41, 41, 42, 42, 42, 42, 43, 43, 43, 43, 43, 43, 43, 43, 43, 43, 42, 42, 43, 43, 43, 43
COLLETORTO, 38, 39, 39, 39, 39, 39, 40, 40, 40, 40, 41, 41, 41, 42, 42, 43, 43, 43, 43, 43, 44, 44, 45, 45, 45, 45, 46, 46, 46, 47, 44, 44, 45, 45, 45, 45
COLLEVECCHIO, 38, 38, 38, 39, 39, 39, 39, 40, 40, 40, 40, 40, 40, 41, 41, 41, 41, 42, 42, 42, 42, 42, 42, 43, 42, 42, 43, 43, 43, 43, 42, 42, 43, 43, 42, 42
COLLI A VOLTURNO, 34, 34, 34, 36, 36, 36, 36, 36, 36, 37, 37, 37, 38, 38, 38, 38, 38, 38, 38, 39, 39, 40, 40, 40, 41, 41, 41, 41, 42, 42, 39, 40, 40, 40, 40, 41
COLLI DEL TRONTO, 36, 36, 36, 36, 37, 37, 37, 37, 38, 38, 38, 38, 38, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 40, 40, 40, 40, 41, 41, 39, 39, 39, 39, 40, 40
COLLI SUL VELINO, 40, 38, 39, 39, 40, 39, 40, 39, 39, 38, 40, 40, 41, 42, 42, 43, 42, 42, 43, 45, 45, 45, 45, 45, 46, 46, 45, 44, 43, 44, 44, 44, 45, 45, 46, 46
COLLIANO, 35, 35, 36, 36, 36, 36, 36, 36, 37, 37, 37, 37, 37, 38, 38, 38, 38, 39, 39, 39, 40, 40, 40, 40, 41, 41, 41, 41, 42, 42, 40, 40, 40, 40, 40, 41
COLLIO, 34, 34, 34, 35, 35, 35, 36, 36, 36, 37, 37, 37, 38, 38, 38, 39, 38, 39, 39, 39, 39, 39, 39, 39, 39, 40, 41, 41, 41, 42, 39, 39, 39, 38, 40, 40
COLLOBIANO, 45, 46, 41, 42, 43, 45, 41, 42, 41, 41, 44, 44, 44, 42, 41, 42, 44, 46, 44, 46, 45, 47, 41, 40, 38, 37, 37, 39, 42, 46, 44, 46, 42, 42, 41, 44
COLLOREDO DI MONTE ALBANO, 36, 37, 37, 37, 37, 37, 38, 39, 39, 39, 39, 39, 40, 40, 40, 41, 41, 41, 41, 42, 42, 43, 43, 44, 44, 44, 45, 45, 45, 45, 42, 43, 43, 44, 44, 44
COLMURANO, 38, 39, 39, 39, 39, 40, 40, 40, 40, 40, 41, 41, 41, 42, 42, 43, 43, 43, 44, 44, 44, 44, 43, 44, 44, 43, 43, 43, 43, 43, 44, 44, 44, 44, 44, 43
COLOBRARO, 36, 36, 36, 37, 37, 37, 37, 38, 38, 38, 38, 39, 39, 39, 39, 40, 41, 42, 42, 43, 43, 43, 43, 44, 45, 45, 45, 45, 46, 46, 42, 43, 43, 44, 45, 45
COLOGNA VENETA, 36, 36, 36, 37, 37, 37, 37, 38, 38, 38, 38, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 40, 39, 39, 39, 39, 40, 39, 39, 39, 39, 40, 39
COLOGNE, 31, 31, 31, 32, 32, 33, 33, 33, 34, 34, 35, 35, 35, 36, 36, 36, 36, 36, 36, 37, 37, 37, 37, 37, 37, 37, 37, 37, 37, 38, 37, 37, 37, 37, 37, 37
COLOGNO AL SERIO, 29, 30, 30, 30, 30, 31, 31, 31, 32, 32, 32, 32, 33, 33, 34, 34, 34, 35, 35, 36, 36, 36, 36, 37, 37, 37, 37, 38, 38, 38, 36, 36, 36, 37, 37, 37
COLOGNO MONZESE, 30, 30, 31, 31, 32, 32, 33, 33, 34, 34, 35, 35, 36, 36, 37, 37, 37, 38, 38, 39, 39, 39, 40, 40, 40, 41, 41, 41, 41, 41, 39, 39, 40, 40, 40, 40
COLOGNOLA AI COLLI, 33, 33, 33, 33, 33, 33, 34, 34, 34, 34, 34, 35, 35, 36, 36, 36, 37, 37, 37, 38, 38, 38, 38, 39, 39, 39, 39, 39, 39, 40, 38, 38, 38, 39, 38, 39
COLONNA, 34, 34, 34, 34, 34, 34, 34, 34, 34, 35, 35, 35, 35, 36, 36, 36, 36, 36, 37, 37, 37, 38, 38, 38, 39, 39, 39, 39, 39, 39, 37, 38, 38, 38, 38, 39
COLONNELLA, 35, 35, 35, 35, 36, 37, 37, 37, 37, 37, 38, 38, 39, 39, 39, 40, 40, 40, 40, 40, 41, 41, 41, 41, 41, 41, 41, 41, 41, 41, 41, 41, 41, 41, 41, 41
COLONNO, 37, 37, 38, 38, 38, 38, 38, 38, 38, 39, 39, 39, 39, 39, 39, 40, 41, 40, 41, 41, 41, 41, 42, 41, 42, 43, 44, 43, 44, 44, 41, 41, 42, 41, 42, 43
COLORINA, 32, 32, 33, 33, 34, 34, 35, 35, 35, 36, 37, 37, 37, 38, 38, 39, 39, 39, 39, 39, 39, 38, 39, 39, 39, 40, 40, 40, 40, 41, 39, 39, 39, 39, 39, 40
COLORNO, 39, 39, 39, 39, 39, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 39, 40, 40, 40, 40, 40, 40, 40, 40, 40, 39, 40, 40
COLOSIMI, 32, 33, 33, 33, 34, 34, 35, 35, 35, 35, 37, 37, 38, 38, 38, 38, 38, 38, 39, 39, 38, 38, 39, 39, 39, 40, 40, 40, 41, 42, 38, 39, 39, 39, 40, 40
COLTURANO, 32, 32, 32, 32, 32, 32, 33, 33, 33, 33, 34, 35, 36, 36, 36, 37, 36, 36, 36, 36, 36, 36, 36, 36, 37, 37, 37, 38, 38, 38, 36, 36, 36, 36, 37, 37
COLZATE, 32, 33, 33, 33, 33, 34, 33, 34, 34, 35, 36, 35, 36, 36, 37, 37, 37, 38, 38, 38, 39, 39, 39, 40, 39, 40, 40, 40, 41, 41, 39, 39, 39, 40, 39, 40
COMABBIO, 36, 37, 37, 38, 39, 40, 40, 40, 40, 40, 41, 42, 43, 42, 40, 40, 40, 39, 39, 39, 40, 40, 39, 39, 40, 40, 39, 39, 40, 40, 40, 40, 40, 40, 40, 40
COMACCHIO, 32, 32, 33, 33, 33, 34, 34, 35, 35, 36, 36, 37, 37, 38, 38, 39, 40, 40, 41, 41, 41, 42, 42, 42, 43, 43, 43, 44, 44, 44, 41, 42, 42, 42, 42, 43
COMANO, 45, 46, 46, 46, 48, 48, 48, 48, 46, 46, 47, 47, 48, 48, 48, 48, 48, 49, 49, 49, 50, 50, 50, 51, 50, 51, 50, 49, 50, 50, 49, 50, 50, 50, 50, 50
COMAZZO, 32, 32, 32, 33, 33, 32, 33, 33, 33, 33, 35, 35, 36, 35, 35, 35, 35, 36, 36, 36, 36, 37, 37, 37, 37, 37, 37, 37, 37, 37, 36, 37, 36, 37, 37, 37
COMEGLIANS, 40, 41, 41, 41, 42, 42, 42, 43, 43, 43, 42, 42, 42, 41, 42, 42, 44, 44, 45, 45, 45, 45, 45, 44, 45, 45, 46, 47, 48, 47, 45, 45, 45, 44, 45, 45
COMELICO SUPERIORE, 36, 37, 37, 37, 38, 38, 38, 39, 39, 39, 39, 40, 40, 41, 41, 41, 41, 41, 41, 42, 42, 42, 42, 42, 42, 43, 43, 43, 43, 44, 41, 41, 42, 42, 42, 43
COMERIO, 36, 35, 36, 37, 36, 37, 37, 37, 37, 37, 37, 38, 38, 39, 39, 39, 39, 39, 39, 40, 41, 41, 41, 40, 41, 41, 41, 41, 42, 42, 41, 41, 41, 40, 41, 41
COMEZZANO-CIZZAGO, 29, 29, 29, 30, 30, 31, 31, 31, 31, 32, 32, 32, 33, 33, 33, 34, 34, 34, 34, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 36, 35, 35, 35, 35, 35, 35
COMIGNAGO, 39, 38, 37, 38, 37, 36, 36, 36, 37, 37, 38, 38, 38, 38, 38, 38, 38, 38, 39, 39, 39, 40, 40, 40, 39, 40, 40, 40, 40, 40, 39, 40, 39, 39, 39, 40
COMISO, 34, 34, 34, 34, 34, 35, 35, 35, 35, 35, 36, 36, 36, 37, 37, 37, 37, 37, 37, 38, 38, 38, 38, 38, 39, 39, 39, 39, 39, 39, 38, 38, 38, 38, 38, 38
COMITINI, 36, 37, 38, 38, 38, 37, 37, 37, 37, 37, 37, 38, 38, 39, 39, 39, 39, 39, 39, 39, 38, 38, 39, 38, 38, 38, 38, 37, 38, 39, 38, 39, 39, 38, 38, 38
COMIZIANO, 31, 31, 31, 31, 31, 32, 32, 32, 33, 33, 35, 35, 35, 36, 36, 36, 37, 37, 38, 38, 38, 39, 39, 39, 40, 40, 40, 40, 40, 41, 38, 38, 39, 39, 39, 40
COMMESSAGGIO, 39, 40, 39, 39, 41, 41, 41, 41, 41, 42, 42, 43, 43, 43, 44, 44, 45, 45, 44, 44, 43, 43, 43, 43, 43, 44, 44, 43, 44, 44, 43, 43, 43, 44, 44, 44
COMMEZZADURA, 33, 33, 34, 34, 35, 35, 36, 36, 37, 37, 37, 38, 39, 38, 38, 39, 39, 40, 40, 40, 40, 40, 39, 39, 39, 40, 40, 40, 41, 41, 40, 40, 39, 39, 40, 40
COMO, 36, 36, 36, 37, 37, 37, 38, 38, 38, 38, 39, 39, 39, 40, 40, 40, 41, 41, 41, 41, 42, 42, 42, 42, 42, 43, 43, 43, 43, 43, 42, 42, 42, 42, 42, 42
COMPIANO, 44, 44, 44, 44, 45, 45, 45, 45, 44, 44, 44, 44, 44, 44, 43, 44, 44, 45, 45, 46, 46, 46, 45, 46, 46, 47, 47, 46, 45, 45, 45, 46, 46, 46, 46, 46
COMUN NUOVO, 30, 30, 31, 31, 31, 32, 32, 32, 33, 33, 34, 34, 35, 35, 36, 36, 36, 36, 36, 36, 37, 36, 36, 36, 36, 36, 36, 36, 37, 37, 37, 37, 36, 36, 36, 37
COMUNANZA, 36, 36, 37, 36, 37, 37, 37, 37, 37, 38, 38, 38, 38, 39, 39, 39, 39, 39, 39, 39, 39, 40, 40, 40, 40, 40, 40, 40, 40, 40, 39, 40, 40, 40, 40, 40
CONA, 32, 32, 33, 33, 33, 34, 34, 35, 35, 36, 36, 37, 37, 38, 38, 38, 38, 39, 39, 39, 40, 40, 40, 41, 41, 41, 41, 42, 42, 42, 40, 40, 40, 41, 41, 41
CONCA CASALE, 41, 39, 38, 39, 40, 39, 40, 42, 41, 41, 42, 42, 42, 43, 44, 44, 46, 46, 47, 48, 48, 48, 48, 50, 48, 49, 50, 52, 52, 53, 48, 50, 50, 50, 51, 50
CONCA DEI MARINI, 34, 35, 35, 36, 36, 36, 36, 36, 37, 37, 37, 38, 38, 39, 39, 38, 39, 39, 39, 39, 40, 40, 40, 39, 39, 38, 39, 39, 39, 40, 40, 40, 40, 39, 39, 39
CONCA DELLA CAMPANIA, 38, 39, 39, 39, 40, 39, 40, 40, 40, 40, 40, 41, 41, 41, 41, 42, 42, 42, 42, 43, 43, 43, 43, 43, 43, 44, 45, 45, 46, 46, 42, 43, 43, 43, 44, 44
CONCAMARISE, 33, 33, 33, 33, 33, 33, 33, 34, 34, 35, 36, 36, 37, 37, 37, 38, 38, 37, 37, 37, 38, 38, 38, 39, 39, 40, 39, 39, 40, 40, 38, 38, 38, 39, 39, 39
CONCERVIANO, 40, 41, 42, 43, 43, 43, 44, 45, 44, 45, 47, 47, 49, 47, 47, 48, 48, 48, 49, 49, 49, 51, 49, 49, 49, 50, 49, 50, 49, 50, 48, 49, 49, 48, 49, 50
CONCESIO, 32, 32, 32, 33, 33, 34, 34, 35, 35, 35, 36, 36, 36, 37, 37, 37, 38, 38, 38, 39, 39, 39, 39, 40, 40, 40, 40, 40, 40, 40, 39, 39, 39, 39, 40, 40
CONCORDIA SAGITTARIA, 33, 33, 33, 34, 34, 34, 35, 35, 35, 36, 36, 37, 37, 37, 38, 38, 38, 39, 39, 40, 40, 40, 40, 41, 41, 41, 41, 42, 42, 42, 40, 40, 40, 41, 41, 41
CONCORDIA SULLA SECCHIA, 38, 38, 39, 39, 39, 39, 40, 40, 40, 40, 41, 41, 41, 41, 41, 41, 41, 41, 41, 41, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42
CONCO, 35, 36, 36, 36, 35, 36, 36, 36, 36, 36, 37, 37, 37, 37, 37, 38, 38, 38, 38, 38, 38, 38, 39, 39, 40, 40, 41, 41, 41, 42, 38, 38, 39, 39, 40, 40
CONDINO, 33, 33, 33, 33, 33, 33, 33, 33, 34, 34, 35, 35, 35, 36, 36, 36, 37, 36, 37, 38, 38, 38, 38, 38, 38, 38, 39, 39, 39, 40, 38, 38, 38, 39, 38, 38
CONDOFURI, 33, 33, 33, 34, 34, 34, 35, 35, 35, 35, 36, 36, 37, 37, 37, 37, 38, 38, 38, 39, 39, 39, 40, 40, 40, 41, 41, 41, 42, 42, 39, 40, 40, 40, 40, 41
CONDOVE, 39, 39, 39, 40, 40, 40, 41, 41, 41, 41, 41, 42, 42, 42, 42, 42, 42, 42, 42, 43, 43, 43, 43, 43, 43, 43, 44, 44, 44, 44, 43, 43, 43, 43, 43, 43
CONDRÒ, 41, 41, 41, 41, 41, 41, 42, 43, 43, 43, 43, 43, 42, 43, 43, 44, 42, 41, 42, 43, 43, 44, 43, 43, 44, 44, 44, 44, 46, 45, 43, 44, 43, 43, 44, 44
CONEGLIANO, 34, 34, 35, 35, 36, 36, 37, 37, 37, 38, 38, 39, 39, 39, 40, 40, 40, 40, 40, 41, 41, 41, 41, 41, 42, 42, 42, 42, 42, 43, 41, 41, 41, 42, 42, 42
CONFIENZA, 40, 40, 40, 41, 40, 41, 41, 41, 42, 41, 41, 42, 41, 42, 41, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 43, 42, 42, 43, 43, 42, 42, 42, 42, 42, 42
CONFIGNI, 41, 42, 41, 41, 41, 41, 43, 43, 42, 42, 43, 43, 44, 44, 45, 44, 46, 45, 44, 44, 44, 44, 44, 44, 43, 44, 45, 45, 45, 44, 44, 44, 44, 44, 43, 43
CONFLENTI, 36, 36, 37, 37, 36, 37, 37, 38, 38, 37, 38, 37, 37, 38, 38, 38, 39, 40, 40, 40, 41, 41, 41, 41, 41, 42, 43, 43, 43, 44, 41, 42, 41, 41, 42, 42
CONIOLO, 49, 49, 48, 50, 51, 50, 49, 50, 49, 50, 47, 48, 46, 46, 46, 45, 45, 45, 46, 46, 46, 45, 45, 43, 44, 43, 43, 43, 44, 44, 46, 45, 46, 44, 44, 44
CONSELICE, 40, 40, 40, 41, 41, 41, 42, 42, 42, 43, 43, 43, 44, 44, 44, 44, 44, 44, 45, 44, 44, 44, 44, 44, 44, 44, 43, 43, 43, 43, 44, 44, 44, 44, 44, 43
CONSELVE, 33, 33, 34, 34, 34, 35, 35, 35, 36, 36, 36, 37, 37, 37, 38, 38, 39, 39, 39, 39, 40, 40, 40, 40, 40, 40, 40, 40, 41, 41, 39, 39, 40, 40, 40, 40
CONTESSA ENTELLINA, 38, 38, 37, 37, 37, 38, 37, 37, 37, 38, 39, 39, 39, 39, 39, 40, 40, 40, 41, 41, 41, 41, 41, 41, 42, 42, 42, 42, 43, 43, 41, 41, 41, 41, 42, 42
CONTIGLIANO, 38, 38, 38, 38, 38, 39, 39, 39, 39, 40, 39, 39, 39, 39, 40, 40, 40, 40, 40, 40, 41, 41, 41, 41, 42, 42, 43, 42, 42, 42, 40, 40, 41, 41, 42, 42
CONTRADA, 30, 30, 31, 30, 30, 30, 31, 31, 31, 31, 32, 32, 33, 33, 34, 33, 33, 34, 34, 34, 35, 36, 36, 36, 36, 37, 37, 38, 38, 38, 35, 35, 36, 36, 36, 37
CONTROGUERRA, 38, 38, 39, 38, 39, 39, 39, 39, 40, 40, 41, 40, 40, 40, 41, 41, 41, 42, 42, 42, 42, 42, 43, 42, 42, 43, 44, 43, 43, 43, 42, 42, 42, 42, 42, 43
CONTRONE, 38, 39, 39, 39, 39, 40, 40, 40, 40, 40, 41, 41, 42, 42, 41, 42, 41, 41, 42, 42, 42, 43, 43, 43, 43, 44, 44, 45, 45, 45, 42, 42, 42, 42, 43, 44
CONTURSI TERME, 32, 33, 33, 33, 34, 34, 34, 35, 35, 36, 37, 36, 37, 37, 37, 37, 37, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 39, 38, 38, 38, 38, 38, 38
CONVERSANO, 32, 33, 33, 33, 33, 33, 34, 34, 34, 34, 35, 35, 35, 36, 36, 36, 36, 37, 37, 37, 38, 38, 38, 38, 39, 39, 39, 40, 40, 40, 38, 38, 38, 39, 39, 39
CONZA DELLA CAMPANIA, 39, 39, 39, 40, 40, 40, 40, 40, 40, 40, 41, 41, 41, 41, 42, 42, 42, 42, 43, 43, 43, 43, 44, 45, 44, 44, 45, 45, 45, 45, 43, 43, 44, 44, 44, 44
CONZANO, 46, 45, 45, 45, 45, 45, 45, 45, 45, 45, 44, 43, 43, 43, 44, 43, 43, 43, 44, 44, 44, 45, 45, 45, 45, 45, 45, 45, 44, 44, 44, 45, 45, 45, 46, 45
COPERTINO, 30, 31, 31, 31, 32, 32, 32, 33, 33, 33, 34, 34, 35, 35, 35, 36, 36, 36, 37, 37, 37, 38, 38, 38, 38, 39, 39, 39, 40, 40, 37, 38, 38, 38, 38, 38
COPIANO, 33, 34, 35, 35, 35, 36, 36, 37, 37, 37, 38, 38, 38, 39, 39, 40, 40, 40, 41, 41, 42, 42, 42, 42, 41, 41, 41, 41, 41, 40, 41, 42, 42, 41, 41, 41
COPPARO, 37, 38, 38, 39, 39, 39, 40, 40, 41, 41, 41, 42, 42, 42, 43, 43, 43, 44, 44, 44, 45, 45, 45, 46, 46, 46, 46, 47, 47, 47, 45, 45, 45, 46, 46, 46
CORANA, 44, 43, 43, 44, 44, 44, 44, 44, 44, 43, 43, 43, 43, 43, 44, 44, 45, 45, 45, 45, 45, 45, 45, 44, 44, 45, 45, 45, 45, 45, 45, 45, 44, 44, 44, 44
CORATO, 32, 32, 32, 32, 32, 33, 33, 33, 33, 34, 34, 34, 34, 34, 34, 35, 35, 35, 35, 35, 36, 36, 36, 36, 37, 37, 37, 37, 38, 38, 36, 36, 36, 36, 37, 37
CORBARA, 30, 30, 30, 31, 31, 31, 32, 32, 32, 33, 33, 33, 34, 34, 34, 35, 35, 35, 36, 37, 37, 37, 38, 38, 38, 38, 38, 38, 39, 39, 37, 37, 37, 37, 38, 38
CORBETTA, 34, 34, 34, 34, 34, 34, 35, 35, 36, 36, 37, 37, 37, 37, 38, 38, 38, 38, 39, 39, 39, 40, 40, 40, 40, 40, 40, 40, 40, 40, 39, 40, 40, 40, 39, 40
CORBOLA, 39, 40, 39, 40, 40, 40, 41, 41, 41, 41, 41, 41, 41, 41, 42, 42, 42, 42, 42, 42, 43, 43, 43, 43, 43, 43, 43, 44, 44, 44, 43, 43, 43, 43, 43, 43
CORCHIANO, 34, 34, 34, 35, 35, 35, 35, 35, 35, 36, 36, 36, 37, 37, 37, 37, 37, 38, 38, 38, 39, 39, 39, 39, 39, 39, 39, 39, 40, 40, 38, 39, 39, 39, 39, 39
CORCIANO, 35, 35, 35, 36, 36, 36, 36, 37, 37, 37, 38, 38, 38, 39, 39, 39, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40
CORDENONS, 33, 34, 34, 34, 35, 35, 35, 36, 36, 37, 37, 37, 38, 38, 38, 38, 39, 39, 39, 39, 39, 40, 40, 40, 40, 40, 40, 40, 41, 41, 39, 40, 40, 40, 40, 40
CORDIGNANO, 35, 36, 36, 36, 36, 37, 37, 37, 38, 38, 38, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 40, 40, 40, 40, 39, 39, 39, 39, 39, 39
CORDOVADO, 34, 34, 35, 35, 35, 35, 36, 36, 36, 36, 37, 37, 37, 38, 38, 39, 39, 39, 39, 39, 39, 39, 39, 39, 40, 40, 40, 40, 40, 41, 39, 39, 39, 39, 40, 40
COREDO, 34, 35, 35, 36, 36, 36, 36, 36, 36, 37, 37, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 39, 39, 39, 38, 38, 38, 38, 38, 38
COREGLIA ANTELMINELLI, 39, 39, 39, 39, 40, 40, 40, 41, 41, 41, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 43, 43, 43, 43, 43, 43, 43, 43, 43, 43, 42, 42, 42, 43, 43, 43
COREGLIA LIGURE, 40, 37, 37, 37, 38, 40, 39, 40, 40, 41, 44, 43, 43, 43, 43, 43, 43, 44, 43, 44, 44, 45, 45, 44, 43, 45, 46, 45, 45, 46, 45, 45, 45, 44, 44, 45
CORENO AUSONIO, 36, 37, 37, 37, 37, 37, 37, 37, 37, 38, 38, 39, 39, 39, 39, 39, 40, 40, 40, 40, 40, 40, 40, 41, 42, 42, 42, 43, 42, 42, 39, 40, 40, 41, 41, 42
